episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
501, -960.783146739006, 1, 25.162811337999756, 778, 130466,                                             130466, 0.0, 9015.9052734375
502, 587.6131177246571, 1, 17.784502476999933, 514, 130980,                                             130980, 0.0, 9175.5517578125
503, -905.7627724409103, 1, 30.15389953399972, 888, 131868,                                             131868, 0.0, 8721.4404296875
504, -10591.623558044434, 3, 47.11661806300026, 1468, 133336,                                             133336, 0.0, 9018.9287109375
505, -5428.008921742439, 2, 23.111152360999768, 713, 134049,                                             134049, 0.0, 8462.39453125
506, 1990.0559503734112, 1, 7.033629655000368, 218, 134267,                                             134267, 0.0, 9201.4560546875
507, -7787.318434476852, 3, 38.06994028999998, 1153, 135420,                                             135420, 0.0, 8105.1162109375
508, -460.02423518896103, 1, 22.902023681000173, 709, 136129,                                             136129, 0.0, 7931.67919921875
509, -12558.273762226105, 2, 44.89789436499996, 1409, 137538,                                             137538, 0.0, 7278.61767578125
510, 522.8442135453224, 1, 19.487648332999925, 618, 138156,                                             138156, 0.0, 7071.09765625
511, -919.0036139190197, 1, 34.43994158099986, 1073, 139229,                                             139229, 0.0, 7243.70068359375
512, 137.0439696609974, 1, 24.618745152999963, 772, 140001,                                             140001, 0.0, 6947.96875
513, -14076.689889431, 2, 71.00172830899965, 2252, 142253,                                             142253, 0.0, 6870.72216796875
