episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
701, 2421.6568947434425, 1, 0.5265950030002386, 30, 186052,                                             186052, 0.0, 10355.6240234375
702, -3112.305416703224, 2, 3.3152954310003224, 211, 186263,                                             186263, 0.0, 8139.912109375
703, -3228.363386154175, 2, 2.5137438020001355, 175, 186438,                                             186438, 0.0, 7961.91650390625
704, 92.86713939905167, 1, 7.103318508000029, 507, 186945,                                             186945, 0.0, 7634.43115234375
705, -3073.7915921211243, 3, 2.114802520000012, 143, 187088,                                             187088, 0.0, 8085.0595703125
706, -2838.1233598589897, 2, 2.715134138999929, 161, 187249,                                             187249, 0.0, 6952.55419921875
707, 1723.228360235691, 1, 2.7146007269998336, 189, 187438,                                             187438, 0.0, 7144.384765625
708, 418.9807121306658, 1, 7.502985200000239, 533, 187971,                                             187971, 0.0, 7763.72119140625
709, 645.8334318399429, 1, 3.3023545050000394, 224, 188195,                                             188195, 0.0, 6832.9794921875
710, -225.24788317084312, 1, 9.12012132100017, 631, 188826,                                             188826, 0.0, 7717.73828125
711, -2960.4009335041046, 2, 1.1687063280000984, 82, 188908,                                             188908, 0.0, 7502.78515625
712, 2296.1149144768715, 1, 1.3004102969998712, 68, 188976,                                             188976, 0.0, 7055.88720703125
713, 1316.5893985331059, 1, 4.9036568460001035, 339, 189315,                                             189315, 0.0, 8156.61669921875
714, 1216.333527892828, 1, 4.102342114000294, 284, 189599,                                             189599, 0.0, 8366.03515625
715, -9389.809246897697, 2, 8.505555231000017, 604, 190203,                                             190203, 0.0, 8142.24853515625
716, -2924.7987493276596, 3, 2.7169110210002145, 157, 190360,                                             190360, 0.0, 9076.5498046875
717, 2029.2113981544971, 1, 1.913383681999676, 130, 190490,                                             190490, 0.0, 7412.216796875
718, -2656.616578936577, 3, 1.90059097700032, 120, 190610,                                             190610, 0.0, 6727.78662109375
719, 1982.151645541191, 1, 2.101945540000088, 140, 190750,                                             190750, 0.0, 8096.22216796875
720, 629.9058368802071, 1, 3.717155534000085, 269, 191019,                                             191019, 0.0, 7439.67724609375
721, 1053.6746017336845, 1, 4.549156661000325, 320, 191339,                                             191339, 0.0, 6916.5439453125
722, 274.39910528063774, 1, 5.718314281000403, 417, 191756,                                             191756, 0.0, 7878.87158203125
723, 1306.4481083154678, 1, 5.502390690000084, 389, 192145,                                             192145, 0.0, 7535.8134765625
724, -4009.2996603250504, 3, 6.704939809999814, 475, 192620,                                             192620, 0.0, 7819.06591796875
725, 1836.5316452383995, 1, 2.9041437939999923, 191, 192811,                                             192811, 0.0, 8467.494140625
