episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -3970.0883865356445, 2, 7.118143723997491, 375, 25062,                                             25062, 54.04082107543945, 350.33099365234375
2, -1299.7459435462952, 4, 10.485598488001415, 340, 25402,                                             25402, 55.796600341796875, 350.13482666015625
3, -2228.8361415863037, 2, 1.3130042570010119, 38, 25440,                                             25440, 58.355159759521484, 370.432861328125
4, -2658.2449848651886, 2, 4.116903705998993, 133, 25573,                                             25573, 55.01683807373047, 358.99090576171875
5, -1061.3216248750687, 4, 10.522027913000784, 353, 25926,                                             25926, 55.717498779296875, 349.4022521972656
6, -1190.6432013511658, 4, 10.320670559001883, 343, 26269,                                             26269, 55.1456413269043, 354.1116943359375
7, -1485.0230848789215, 4, 10.119884886000364, 341, 26610,                                             26610, 56.71193313598633, 361.3017883300781
8, -2281.5682349205017, 2, 2.1165700430028664, 66, 26676,                                             26676, 58.22943115234375, 360.7326965332031
9, -2656.887237548828, 2, 1.9181948479999846, 59, 26735,                                             26735, 55.38287353515625, 370.6801452636719
10, -1192.3643050193787, 4, 10.319086417999642, 346, 27081,                                             27081, 57.46650314331055, 368.3641052246094
11, -3389.2008290290833, 2, 8.117819070997939, 273, 27354,                                             27354, 57.6905403137207, 367.6927185058594
12, -3010.0334389209747, 2, 6.917801698000403, 225, 27579,                                             27579, 57.04641342163086, 370.3115234375
13, 2459.0755054354668, 1, 1.115917103998072, 30, 27609,                                             27609, 59.95055389404297, 378.6689147949219
14, -2628.268550634384, 2, 3.093819962999987, 108, 27717,                                             27717, 57.98369598388672, 377.587646484375
15, -2388.3597453832626, 2, 2.537160247000429, 76, 27793,                                             27793, 58.46770095825195, 376.0860900878906
16, -3347.4238620996475, 3, 10.120362286001182, 340, 28133,                                             28133, 59.9853630065918, 379.9948425292969
17, -2279.354639530182, 2, 1.715169621998939, 49, 28182,                                             28182, 60.17312240600586, 365.39813232421875
18, -2862.619709968567, 2, 7.117676149002364, 234, 28416,                                             28416, 61.03085708618164, 385.362548828125
19, -1435.6620720624924, 4, 10.120469376000983, 344, 28760,                                             28760, 60.71414566040039, 390.64453125
20, -3140.2269418239594, 2, 5.117005779000465, 170, 28930,                                             28930, 62.88008499145508, 398.8174133300781
21, -1396.6724721193314, 4, 10.519502799001202, 353, 29283,                                             29283, 63.08279037475586, 397.6365661621094
22, -3011.566703081131, 2, 4.919204833000549, 163, 29446,                                             29446, 63.740203857421875, 412.25152587890625
23, -1825.172639131546, 4, 10.119298427001922, 346, 29792,                                             29792, 64.07799530029297, 406.615234375
24, -3925.7231748104095, 2, 6.317484491999494, 203, 29995,                                             29995, 67.5707778930664, 415.6522521972656
25, -2384.7115845680237, 2, 2.1155789379990892, 61, 30056,                                             30056, 68.09005737304688, 406.80450439453125
26, 2453.1939200758934, 1, 1.1155322859995067, 30, 30086,                                             30086, 66.74352264404297, 416.65057373046875
27, -1607.9729146957397, 4, 10.318925088999094, 343, 30429,                                             30429, 68.38410949707031, 412.0437316894531
28, -3043.515154361725, 2, 5.7177346520002175, 187, 30616,                                             30616, 69.37489318847656, 418.24713134765625
29, -3368.4959478378296, 2, 7.520651940001699, 240, 30856,                                             30856, 68.08206939697266, 420.4587097167969
30, -2500.2778915166855, 4, 10.319748819998495, 342, 31198,                                             31198, 71.79789733886719, 423.8895263671875
31, -2869.9989092350006, 2, 4.917236100998707, 155, 31353,                                             31353, 72.14369201660156, 417.6756591796875
32, -1225.7207931280136, 4, 10.119976801997836, 334, 31687,                                             31687, 71.74972534179688, 428.0900573730469
33, -2897.407042503357, 2, 5.11721174700142, 165, 31852,                                             31852, 74.34745025634766, 424.324951171875
34, -3222.573685646057, 2, 6.118990185997973, 196, 32048,                                             32048, 73.06262969970703, 426.1494445800781
35, -3124.270586013794, 2, 6.118679446000897, 193, 32241,                                             32241, 75.63996887207031, 441.4678649902344
36, -3366.8730957508087, 2, 5.916577239000617, 191, 32432,                                             32432, 77.71280670166016, 440.60052490234375
37, -3309.1104600429535, 2, 5.717391328998929, 180, 32612,                                             32612, 75.90536499023438, 451.3587341308594
38, -2804.0678552389145, 2, 5.317551764001109, 172, 32784,                                             32784, 77.6056137084961, 441.1046447753906
39, -3049.815762758255, 2, 5.317598134999571, 171, 32955,                                             32955, 79.22584533691406, 444.2705078125
40, -3309.9375208616257, 2, 7.918393733001722, 258, 33213,                                             33213, 79.37515258789062, 449.81683349609375
41, -3827.67183637619, 2, 8.926489026001946, 293, 33506,                                             33506, 78.4227066040039, 449.49462890625
42, -3833.9449520111084, 2, 8.919736555999407, 293, 33799,                                             33799, 79.94527435302734, 461.9081726074219
43, -3301.649988770485, 2, 5.117440784000792, 158, 33957,                                             33957, 79.08557891845703, 458.8081359863281
44, -3307.545084118843, 2, 5.517414875997929, 171, 34128,                                             34128, 79.78069305419922, 471.1175842285156
